stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1528,MABWB,MALL & WATERS WB,MALL BLVD,31.999359,-81.10405,,,,
1530,MBLDSOC,MALL BLVD & SOUTH UNIV EB,,31.999296,-81.104114,,,,
1531,WATGOB,WATERS & GWINNETT SB,WATERS AVE & E GWINNETT ST,32.063148,-81.080111,,,,
1533,WATPAOB,WATERS & PARK SB,WATERS AVE & E DUFFY ST,32.060204,-81.081089,,,,
1534,WATHEOB,WATERS & HENRY SB,,32.059074,-81.081504,,,,
1535,WATANOB,WATERS & ANDERSON SB,,32.058122,-81.081792,,,,
1536,WAT31LO,WATERS & 31ST SB,E 31ST LN & OTT ST,32.057027,-81.082217,,,,
1538,WAT35OB,WATERS & 35TH SB,,32.05525,-81.082813,,,,
1541,WAT40OB,WATERS & 40TH SB,,32.050467,-81.084536,,,,
1542,WATVIOB,WATERS & VICTORY SB,,32.048393,-81.085238,,,,
1543,WAT45OB,WATERS & 45TH SB,,32.046715,-81.085844,,,,
1544,WATWAOB,WATERS & WASHINGTON SB,WATERS AVE & WARING DR,32.045207,-81.086375,,,,
1545,WAT49OB,WATERS & 49TH SB,,32.043753,-81.086897,,,,
1546,WAT52OB,WATERS & 52ND SB,,32.041473,-81.087758,,,,
1548,WAT55OB,WATERS & 55TH SB,,32.039355,-81.088949,,,,
1549,WAT58OB,WATERS & 58TH SB,WATERS AVE & E 58TH ST,32.036761,-81.090119,,,,
1550,WATCOOB,WATERS & COLUMBUS SB,,32.035828,-81.090352,,,,
1552,WATWIOB,WATERS & WINSTON SB,WATERS AVE & E 63RD ST,32.03274,-81.091564,,,,
1553,WATSCOB,WATERS & MEDICAL ARTS SHOPPING CTR SB,,32.031304,-81.092,,,,
1554,WAT65OB,WATERS & 65TH SB,,32.029958,-81.0925,,,,
1555,WAT68OB,WATERS & 68TH SB,WATERS AVE & E 68TH ST,32.027893,-81.093403,,,,
1556,WAT71OB,WATERS & 71ST SB,,32.025335,-81.094339,,,,
1557,WATALOB,WATERS & ALTHEA SB,WATERS AVE & E DE RENNE AVE,32.021925,-81.095689,,,,
1558,WATFLOB,WATERS & FAITH LUTHERAN CHURCH SB,,32.019869,-81.096486,,,,
1559,WATSTOB,WATERS & STUART SB,,32.015229,-81.098048,,,,
1560,WATJAOB,WATERS & JACKSON SB,,32.013478,-81.098653,,,,
1561,WATCNOB,WATERS & CORNELL SB,,32.011898,-81.099174,,,,
1562,WATPHOB,WATERS & STEPHENSON SB,,32.009313,-81.100034,,,,
1563,WATEIO,WATERS & EISENHOWER SB,,32.007285,-81.100704,,,,
1565,MABMCOB,MALL BLVD & MALL COURT WB,MALL BLVD & MALL CT,32.000938,-81.106209,,,,
1566,MABPB,MALL BLVD & OGLETHORPE PROFESSIONAL WB,MALL BLVD & MALL CT,32.00117,-81.108528,,,,
1567,MABNHOB,MALL BLVD & EAST OF HODGSON MEMORIAL WB,,32.001672,-81.110676,,,,
1569,MABOPIB,MALL BLVD & OGLETHORPE OFFICE PARK EB,,32.002058,-81.111186,,,,
1571,MABMCIB,MALL BLVD & MALL COURT EB,,32.000929,-81.106433,,,,
1573,WATEISIB,WATERS & EISENHOWER NB,,32.00636,-81.101001,,,,
1574,WATESIB,WATERS & EISENHOWER SHOPPING PLAZA NB,,32.007437,-81.100608,,,,
1575,WATSTIB,WATERS & STEPHENSON NB,,32.009071,-81.100066,,,,
1576,WATMOSIB,WATERS & MOSBY NB,,32.010929,-81.099461,,,,
1578,WATJAIB,WATERS & JACKSON NB,,32.013164,-81.098706,,,,
1579,WATSUIB,WATERS & STUART NB,,32.014789,-81.098154,,,,
1581,WATBAPK,WATERS & BACON PARK NB,,32.019699,-81.096507,,,,
1582,WATALIB,WATERS & ALTHEA NB,,32.021646,-81.09572,,,,
1584,WAT71IB,WATERS & 71ST NB,,32.025246,-81.094328,,,,
1585,WAT67IB,WATERS & 67TH NB,,32.02819,-81.093201,,,,
1587,WAT65IB,WATERS & 65TH NB,WATERS AVE & E 65TH ST,32.029805,-81.092478,,,,
1588,WATMRIB,WATERS & EMERGENCY ROOM ENTRANCE NB,WATERS AVE & E 63RD ST,32.031053,-81.092011,,,,
1589,WATWIIB,WATERS & WINSTON NB,,32.032848,-81.091426,,,,
1591,WAT60IB,WATERS & 60TH NB,WATERS AVE & E 60TH ST,32.034957,-81.090576,,,,
1592,WAT57IB,WATERS & 57TH NB,,32.03695,-81.089916,,,,
1593,WAT55IB,WATERS & 55TH NB,,32.039149,-81.089013,,,,
1594,WAT54IB,WATERS & 54TH NB,,32.040055,-81.088534,,,,
1595,WAT50IB,WATERS & 50TH NB,E 50TH ST & WATERS AVE,32.042775,-81.08713,,,,
1597,WATWAIB,WATERS & WASHINGTON NB,,32.044902,-81.086439,,,,
1598,WAT45IB,WATERS & 45TH NB,,32.046473,-81.085854,,,,
1600,WAT42IB,WATERS & 42ND NB,,32.048968,-81.085004,,,,
1602,WAT39IB,WATERS & 39TH NB,,32.051086,-81.08427,,,,
1604,WAT35IB,WATERS & 35TH NB,,32.054918,-81.082898,,,,
1605,WAT32IB,WATERS & 32ND NB,,32.056462,-81.082366,,,,
1607,WATANIB,WATERS & ANDERSON NB,,32.057925,-81.081834,,,,
1608,WATHEIB,WATERS & HENRY NB,,32.058804,-81.081547,,,,
1609,WATPAIB,WATERS & PARK NB,,32.060177,-81.081047,,,,
1611,WATGWIB,WATERS & GWINNETT NB,,32.062987,-81.080047,,,,
1613,WATNSOB,WATERS & MOSBY SB,,32.010767,-81.099556,,,,
1614,MABSHM,MALL BLVD & WEST OF HODGSON MEMORIAL WB,MALL BLVD & UNNAMED ST,32.003502,-81.11275,,,,
1615,CATGAIB,CAT CENTRAL,,32.063453,-81.081686,,,,
1616,CATGAROB,CAT CENTRAL,,32.063166,-81.08076,,,,
1617,PRIOGOB,PRICE & OGLETHORPE SB,,32.075218,-81.087509,,,,
1618,PRILIOB,PRICE & LIBERTY SB,,32.073396,-81.088211,,,,
1619,PRIMAOB,PRICE & MACON SB,,32.07222,-81.088658,,,,
1620,GWIPREB,GWINNETT & PRICE EB,,32.065785,-81.090753,,,,
1621,GWIEBEB,GWINNETT & E BROAD EB,,32.065436,-81.089423,,,,
1622,GWIATEB,GWINNETT & ATLANTIC EB,,32.064655,-81.08639,,,,
